Writing: 17825520 bytes
Stash size= 65535
Stash size= 438
Stash size= 475
Stash size= 476
Stash size= 493
Stash size= 554
Stash size= 628
Stash size= 786
Stash size= 1143
Stash size= 1907
Stash size= 3263
Stash size= 6024
Stash size= 11211
Stash size= 20222
Stash size= 33944
Stash size= 50158
Stash size= 62344
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,0,0,1,1,4,65536,17,1,0,0,0,0,0,0,0.137903,0.000000,0,5.572976
osm,0,0,1,1,4,65536,17,1,1,0.000003,0.000000,0.012636,53040.000000,13259.000000,0,0,1.000000,5.572976
osm,0,0,1,1,4,65536,17,1,2,0.000001,0.000000,0.013464,54944.000000,13734.000000,0,0,2.000000,5.572976
osm,0,0,1,1,4,65536,17,1,4,0.000002,0.000000,0.013148,55216.000000,13800.000000,0,0,4.000000,5.572976
osm,0,0,1,1,4,65536,17,1,8,0.000005,0.000000,0.014093,63104.000000,15768.000000,0,0,8.000000,5.572976
osm,0,0,1,1,4,65536,17,1,16,0.000014,0.000000,0.015308,81600.000000,20384.000000,0,0,16.000000,5.572976
osm,0,0,1,1,4,65536,17,1,32,0.000031,0.000000,0.015516,123216.000000,30772.000000,0,0,32.000000,5.572976
osm,0,0,1,1,4,65536,17,1,64,0.000074,0.000000,0.019989,197200.000000,49236.000000,0,0,64.000000,5.572976
osm,0,0,1,1,4,65536,17,1,128,0.000186,0.000000,0.024997,337280.000000,84192.000000,0,0,128.000000,5.572976
osm,0,0,1,1,4,65536,17,1,256,0.000449,0.000000,0.035647,569840.000000,142204.000000,0,0,256.000000,5.572976
osm,0,0,1,1,4,65536,17,1,512,0.001056,0.000000,0.055171,1010480.000000,252108.000000,0,0,512.000000,5.572976
osm,0,0,1,1,4,65536,17,1,1024,0.002624,0.000000,0.090998,1704080.000000,424996.000000,0,0,1024.000000,5.572976
osm,0,0,1,1,4,65536,17,1,2048,0.006744,0.000000,0.138567,2858176.000000,712496.000000,0,0,2048.000000,5.572976
osm,0,0,1,1,4,65536,17,1,4096,0.015559,0.000000,0.212939,4622096.000000,1151428.000000,0,0,4096.000000,5.572976
osm,0,0,1,1,4,65536,17,1,8192,0.037214,0.000000,0.351719,7242000.000000,1802308.000000,0,0,8192.000000,5.572976
osm,0,0,1,1,4,65536,17,1,16384,0.087318,0.000000,0.484858,10477440.000000,2602976.000000,0,0,16384.000000,5.572976
osm,0,0,1,1,4,65536,17,1,32768,0.203069,0.000000,0.576045,13949792.000000,3454680.000000,0,0,32768.000000,5.572976
