omap,0,0,1,1,300,32,6,1,0,1430036.530000,75742.560000,0.000000,1470907.860000,76240.960000,252.610000,686012.000000,0.000000,0.294266
omap,0,0,1,1,300,32,6,1,0,1397747.790000,76611.200000,0.000000,1498092.690000,76041.600000,251.890000,671533.000000,0.000000,0.293291
omap,0,0,1,1,300,64,7,1,0,2423539.400000,129413.120000,0.000000,2410547.850000,130837.120000,434.740000,715483.000000,0.000000,0.488069
omap,0,0,1,1,300,524288,20,1,0,28336791.370000,2402373.440000,0.000000,27281178.190000,2634186.400000,8779.120000,771113.000000,0.000000,6.564088
omap,0,0,1,1,300,1048576,21,1,0,30890103.140000,2627436.640000,0.000000,31112295.660000,2876921.440000,9588.250000,737052.000000,0.000000,7.202858
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,32,6,1,0,1590719.770000,75472.000000,0.000000,1321788.290000,76383.360000,253.010000,1223623.000000,0.000000,0.408337
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,64,7,1,0,2395728.820000,128629.920000,0.000000,2273989.460000,128928.960000,428.290000,756140.000000,0.000000,0.473414
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,524288,20,1,0,28012855.800000,2396720.160000,0.000000,26945082.210000,2631708.640000,8770.880000,753395.000000,0.000000,6.498335
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,1048576,21,1,0,30083098.440000,2629957.120000,0.000000,30107996.580000,2883742.400000,9610.990000,726036.000000,0.000000,7.021799
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,64,7,1,0,0.002361,130580.800000,0.000000,0.002227,129441.600000,430.010000,0.002404,0.000000,0.526090
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,1048576,21,1,0,0.030438,2634015.520000,0.000000,0.029870,2875896.160000,9584.820000,0.000644,0.000000,7.033159
