test,mem,ssd,cached,v,n,c,itime,stime,took
boram,0,0,1,32,67108864,1,0.0929888,0,0.371956
boram,0,0,1,32,67108864,2,0.120467,0,0.481869
boram,0,0,1,32,67108864,4,0.140703,0,0.562813
boram,0,0,1,32,67108864,8,0.127043,0,0.508171
boram,0,0,1,32,67108864,16,0.13044,0,0.52176
boram,0,0,1,32,67108864,32,0.127011,0,0.508045
boram,0,0,1,32,67108864,64,0.150227,0,0.600909
boram,0,0,1,32,67108864,128,0.134863,0,0.539453
boram,0,0,1,32,67108864,256,0.139478,0,0.557913
boram,0,0,1,32,67108864,512,0.140015,0,0.560063
boram,0,0,1,32,67108864,1024,0.145649,0,0.582595
boram,0,0,1,32,67108864,2048,0.152954,0,0.611817
boram,0,0,1,32,67108864,4096,0.1652,0,0.6608
boram,0,0,1,32,67108864,8192,0.190485,0,0.761942
boram,0,0,1,32,67108864,16384,0.238572,0,0.954289
boram,0,0,1,32,67108864,32768,0.31815,0,1.2726
boram,0,0,1,32,67108864,65536,0.475055,0,1.90022
boram,0,0,1,32,67108864,131072,0.757644,0,3.03058
boram,0,0,1,32,67108864,262144,1.6343,0,6.5372
boram,0,0,1,32,67108864,524288,3.23663,0,12.9465
boram,0,0,1,32,67108864,1048576,5.67503,0,22.7001
boram,0,0,1,32,67108864,2097152,10.0223,0,40.0892
boram,0,0,1,32,67108864,4194304,18.0146,0,72.0583
boram,0,0,1,32,67108864,8388608,25.691,0,102.764
boram,0,0,1,32,67108864,16777216,38.4803,0,153.921
boram,0,0,1,32,67108864,33554432,47.5511,0,190.205
poram,0,0,1,32,67108864,1,0.125872,0,0.50349
poram,0,0,1,32,67108864,2,0.243658,0,0.974635
poram,0,0,1,32,67108864,4,0.53069,0,2.12276
poram,0,0,1,32,67108864,8,1.08276,0,4.33103
poram,0,0,1,32,67108864,16,2.11839,0,8.47356
poram,0,0,1,32,67108864,32,4.21832,0,16.8733
poram,0,0,1,32,67108864,64,8.32279,0,33.2912
poram,0,0,1,32,67108864,128,16.3164,0,65.2657
poram,0,0,1,32,67108864,256,32.3004,0,129.202
poram,0,0,1,32,67108864,512,64.2649,0,257.06
poram,0,0,1,32,67108864,1024,126.982,0,507.928
poram,0,0,1,32,67108864,2048,251.266,0,1005.07
poram,0,0,1,32,67108864,4096,499.176,0,1996.7
poram,0,0,1,32,67108864,8192,988.336,0,3953.34
poram,0,0,1,32,67108864,16384,1974.23,0,7896.94
poram,0,0,1,32,67108864,32768,3920.58,0,15682.3
poram,0,0,1,32,67108864,65536,7713.89,0,30855.6
poram,0,0,1,32,67108864,131072,15342.2,0,61368.6
poram,0,0,1,32,67108864,262144,30616.5,0,122466
