test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,0,1,128,8388608,24,1,0,0,0,0.000000,0,0,0,29093.747334,617401475200.000000,4784.885756
omap,0,0,0,1,128,8388608,24,1,1,0.122538,2425105.280000,0,0.227312,4573504.000000,35729.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,2,0,0,0,0.233718,4639744.000000,36247.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,4,0,0,0,0.238445,4739840.000000,37029.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,8,0,0,0,0.242947,4862016.000000,37983.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,16,0,0,0,0.267966,5222656.000000,40801.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,32,0,0,0,0.298394,5848256.000000,45688.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,64,0,0,0,0.366394,7112704.000000,55567.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,128,0,0,0,0.476752,9568000.000000,74749.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,256,0,0,0,0.704007,14256320.000000,111376.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,512,0,0,0,1.196690,23088320.000000,180376.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,1024,0,0,0,2.040904,39552640.000000,309004.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,2048,0,0,0,3.729428,69920000.000000,546249.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,4096,0,0,0,6.702045,124593024.000000,973382.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,8192,0,0,0,12.259287,222139520.000000,1735464.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,16384,0,0,0,22.410776,393258048.000000,3072327.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,32768,0,0,0,40.615315,687727232.000000,5372868.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,65536,0,0,0,72.834215,1183683776.000000,9247528.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,131072,0,0,0,128.154882,1984014592.000000,15500113.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,262144,0,0,0,227.122311,3219695296.000000,25153868.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,524288,0,0,0,394.548903,4988652160.000000,38973844.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,1048576,0,0,0,772.725653,7248734464.000000,56630737.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,2097152,0,0,0,1200.755776,9631487360.000000,75245994.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,4194304,0,0,0,1593.539325,11454337088.000000,89487007.000000,0,0,4784.885756
