test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,65536,1,1,0,0,0,7.947670,38216784.000000,0,241.247861
ofs,1,1,0,1,4,65536,1,1,1,0.242690,0.174947,0,0,1.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,2,0.227114,0.179964,0,0,2.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,4,0.251160,0.169415,0,0,4.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,8,0.232843,0.184178,0,0,8.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,16,0.248109,0.216614,0,0,16.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,32,0.248596,0.195042,0,0,32.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,64,0.265799,0.209303,0,0,64.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,128,0.351462,0.288686,0,0,128.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,256,0.533492,0.425950,0,0,256.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,512,0.924286,0.710106,0,0,512.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,1024,1.742254,1.127703,0,0,1024.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,2048,3.217343,1.834307,0,0,2048.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,4096,6.413912,2.863415,0,0,4096.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,8192,12.945712,4.426399,0,0,8192.000000,241.247861
ofs,1,1,0,1,4,65536,1,1,16384,25.256846,6.358300,0,0,16384.000000,241.247861
