test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,1048576,1,1,0,0,0,0,0,0,108.412839,605854800.000000,0,1773.896674
ofs,1,1,0,1,4,1048576,1,1,1,0.352882,2645088.000000,0.428204,3940896.000000,985223.000000,0,0,1.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,2,0.327157,2654208.000000,0.423125,3956736.000000,989182.000000,0,0,2.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,4,0.331200,2626848.000000,0.423138,3956736.000000,989180.000000,0,0,4.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,8,0.332746,2603328.000000,0.422807,3931296.000000,982816.000000,0,0,8.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,16,0.329502,2630688.000000,0.419752,3951456.000000,987848.000000,0,0,16.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,32,0.338691,2629248.000000,0.416134,3926016.000000,981472.000000,0,0,32.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,64,0.326796,2631648.000000,0.438166,3974496.000000,993560.000000,0,0,64.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,128,0.335983,2608608.000000,0.407849,3945216.000000,986176.000000,0,0,128.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,256,0.315267,2635008.000000,0.422884,3963456.000000,990608.000000,0,0,256.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,512,0.476927,4106496.000000,0.694343,6781152.000000,1694776.000000,0,0,512.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,1024,0.802665,7082112.000000,1.193910,12362304.000000,3089552.000000,0,0,1024.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,2048,1.413024,13003584.000000,2.234405,23593728.000000,5896384.000000,0,0,2048.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,4096,2.709631,24864768.000000,4.383585,46030656.000000,11503568.000000,0,0,4096.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,8192,5.006295,48661536.000000,8.406135,90854592.000000,22705456.000000,0,0,8192.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,16384,9.689853,96126912.000000,16.805877,180645504.000000,45144992.000000,0,0,16384.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,32768,19.294718,191026944.000000,33.769312,360393888.000000,90065704.000000,0,0,32768.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,65536,37.885643,380728608.000000,67.378962,719363616.000000,179775368.000000,0,0,65536.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,131072,73.836644,760083936.000000,132.893090,1437350112.000000,359206456.000000,0,0,131072.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,262144,147.309016,1519710912.000000,267.534440,2876457584.000000,718852252.000000,0,0,262144.000000,1773.896674
ofs,1,1,0,1,4,1048576,1,1,524288,293.074530,3038664384.000000,531.894686,5754385568.000000,1438072104.000000,0,0,524288.000000,1773.896674
