test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,insert,insert_bytes,setup,setup_bytes,vl,total_time
osm,0,1,1,1,128,65536,17,1,0,0,0,0,17.224474,50330880.000000,0,317.902610
osm,0,1,1,1,128,65536,17,1,1,0,0.699322,1076736.000000,0,0,1.000000,317.902610
osm,0,1,1,1,128,65536,17,1,2,0,1.257013,1941504.000000,0,0,2.000000,317.902610
osm,0,1,1,1,128,65536,17,1,4,0,2.351487,3437568.000000,0,0,4.000000,317.902610
osm,0,1,1,1,128,65536,17,1,8,0,3.163272,5999616.000000,0,0,8.000000,317.902610
osm,0,1,1,1,128,65536,17,1,16,0,5.416048,10318848.000000,0,0,16.000000,317.902610
osm,0,1,1,1,128,65536,17,1,32,0,6.935654,17250816.000000,0,0,32.000000,317.902610
osm,0,1,1,1,128,65536,17,1,64,0,9.945134,27996672.000000,0,0,64.000000,317.902610
osm,0,1,1,1,128,65536,17,1,128,0.712370,11.948617,42834432.000000,0,0,128.000000,317.902610
osm,0,1,1,1,128,65536,17,1,256,0,17.779018,61565952.000000,0,0,256.000000,317.902610
osm,0,1,1,1,128,65536,17,1,512,0.691802,23.197158,81114624.000000,0,0,512.000000,317.902610
osm,0,1,1,1,128,65536,17,1,1024,0.698394,25.839715,94537728.000000,0,0,1024.000000,317.902610
osm,0,1,1,1,128,65536,17,1,2048,0,29.309429,99995136.000000,0,0,2048.000000,317.902610
osm,0,1,1,1,128,65536,17,1,4096,0.651886,29.949122,100655616.000000,0,0,4096.000000,317.902610
osm,0,1,1,1,128,65536,17,1,8192,0,29.362580,100661760.000000,0,0,8192.000000,317.902610
osm,0,1,1,1,128,65536,17,1,16384,0,32.292057,100661760.000000,0,0,16384.000000,317.902610
osm,0,1,1,1,128,65536,17,1,32768,0,32.911353,100661760.000000,0,0,32768.000000,317.902610
osm,0,1,1,1,128,65536,17,1,65536,0,35.561509,100661760.000000,0,0,65536.000000,317.902610
